ID,Mode,Generations
83,Asex_auto,97528
84,Asex_auto,56645
85,Asex_auto,92943
86,Asex_auto,152837
87,Asex_auto,160011
88,Asex_auto,131222
89,Asex_auto,74829
90,Asex_auto,66867
91,Asex_auto,83314
92,Asex_auto,98626
93,Asex_auto,82816
94,Asex_auto,151938
95,Asex_auto,103263
96,Asex_auto,122683
97,Asex_auto,70991
98,Asex_auto,134234
99,Asex_auto,110239
100,Asex_auto,101484
101,Asex_mito,26247
102,Asex_mito,13902
103,Asex_mito,12709
104,Asex_mito,38283
105,Asex_mito,10614
106,Asex_mito,12717
107,Asex_mito,6741
108,Asex_mito,6563
109,Asex_mito,27862
110,Asex_mito,22403
111,Asex_mito,22564
112,Asex_mito,13269
113,Asex_mito,37385
114,Asex_mito,35728
115,Asex_mito,13371
116,Asex_mito,7369
117,Asex_mito,13727
118,Asex_mito,18377
119,Asex_mito,12620
120,Asex_mito,28413
121,Asex_mito,8670
122,Asex_mito,19057
123,Asex_mito,14538
124,Asex_mito,8233
125,Asex_mito,17712
126,Asex_mito,15491
127,Asex_mito,17373
128,Asex_mito,25847
129,Asex_mito,13665
130,Asex_mito,9308
131,Asex_mito,10596
132,Asex_mito,17935
133,Asex_mito,22176
134,Asex_mito,9372
135,Asex_mito,18951
136,Asex_mito,16944
137,Asex_mito,16653
138,Asex_mito,40728
139,Asex_mito,16928
140,Asex_mito,11472
141,Asex_mito,20497
142,Asex_mito,23747
143,Asex_mito,11656
144,Asex_mito,13308
145,Asex_mito,51421
146,Asex_mito,13593
147,Asex_mito,14630
148,Asex_mito,11273
149,Asex_mito,23650
150,Asex_mito,33263
151,Asex_mito,16539
152,Asex_mito,23390
153,Asex_mito,17196
154,Asex_mito,17131
155,Asex_mito,10420
156,Asex_mito,26474
157,Asex_mito,24460
158,Asex_mito,40625
159,Asex_mito,12082
160,Asex_mito,17711
161,Asex_mito,13443
162,Asex_mito,43408
163,Asex_mito,18847
164,Asex_mito,16445
165,Asex_mito,20150
166,Asex_mito,44427
167,Asex_mito,14266
168,Asex_mito,12121
169,Asex_mito,19686
170,Asex_mito,15680
171,Asex_mito,17499
172,Asex_mito,16452
173,Asex_mito,6509
174,Asex_mito,20738
175,Asex_mito,9562
176,Asex_mito,22306
177,Asex_mito,14686
178,Asex_mito,23204
179,Asex_mito,28200
180,Asex_mito,19472
181,Asex_mito,19704
182,Asex_mito,17212
183,Asex_mito,10713
184,Asex_mito,24314
185,Asex_mito,18662
186,Asex_mito,19170
187,Asex_mito,13144
188,Asex_mito,16772
189,Asex_mito,23066
190,Asex_mito,22010
191,Asex_mito,8931
192,Asex_mito,10534
193,Asex_mito,10314
194,Asex_mito,8493
195,Asex_mito,26438
196,Asex_mito,19611
197,Asex_mito,31336
198,Asex_mito,9997
199,Asex_mito,11733
200,Asex_mito,17695
201,Sex_auto,72923
202,Sex_auto,127203
203,Sex_auto,40042
204,Sex_auto,85813
205,Sex_auto,92297
206,Sex_auto,54425
207,Sex_auto,33669
208,Sex_auto,55894
209,Sex_auto,119915
210,Sex_auto,46723
211,Sex_auto,52086
212,Sex_auto,53577
213,Sex_auto,82312
214,Sex_auto,87454
215,Sex_auto,25589
216,Sex_auto,57743
217,Sex_auto,127578
218,Sex_auto,75177
219,Sex_auto,49997
220,Sex_auto,28023
221,Sex_auto,114910
222,Sex_auto,92270
223,Sex_auto,61787
