,Mode,Generations
407,Self,11050
408,Self,7250
409,Self,13880
410,Self,15189
411,Self,3718
412,Self,10688
413,Self,5567
414,Self,14401
415,Self,12023
416,Self,8294
417,Self,12051
418,Self,6334
